rank,building,city,country,height_m,height_ft,year_completed,floors,use_type
1,Burj Khalifa,Dubai,United Arab Emirates,828,2717,2010,163,mixed-use
2,Merdeka 118,Kuala Lumpur,Malaysia,678.9,2227,2023,118,mixed-use
3,Shanghai Tower,Shanghai,China,632,2074,2015,128,mixed-use
4,Abraj Al-Bait Clock Tower,Mecca,Saudi Arabia,601,1972,2012,120,hotel
5,Ping An Finance Center,Shenzhen,China,599.1,1966,2017,115,office
6,Lotte World Tower,Seoul,South Korea,554.5,1819,2017,123,mixed-use
7,One World Trade Center,New York City,United States,541.3,1776,2014,94,office
8,Guangzhou CTF Finance Centre,Guangzhou,China,530,1739,2016,111,mixed-use
9,Tianjin CTF Finance Centre,Tianjin,China,530,1739,2019,97,mixed-use
10,CITIC Tower (China Zun),Beijing,China,528,1732,2018,108,office
11,Taipei 101,Taipei,Taiwan,508,1667,2004,101,office
12,Shanghai World Financial Center,Shanghai,China,492,1614,2008,101,mixed-use
13,International Commerce Centre,Hong Kong,China,484,1588,2010,108,mixed-use
14,The Exchange 106,Kuala Lumpur,Malaysia,482.7,1584,2019,95,office
15,Central Park Tower,New York City,United States,472.4,1550,2020,98,residential
16,Lakhta Center,Saint Petersburg,Russia,462,1516,2019,87,office
17,Vincom Landmark 81,Ho Chi Minh City,Vietnam,461.2,1513,2018,81,mixed-use
18,Changsha IFS Tower T1,Changsha,China,452.1,1483,2018,94,mixed-use
19,Petronas Tower 1,Kuala Lumpur,Malaysia,451.9,1483,1998,88,office
20,Petronas Tower 2,Kuala Lumpur,Malaysia,451.9,1483,1998,88,office
21,Zifeng Tower,Nanjing,China,450,1476,2010,89,mixed-use
22,Willis Tower (Sears Tower),Chicago,United States,442.1,1450,1973,108,office
23,KK100,Shenzhen,China,441.8,1449,2011,100,mixed-use
24,Guangzhou International Finance Center,Guangzhou,China,438.6,1439,2010,103,mixed-use
25,432 Park Avenue,New York City,United States,425.5,1396,2015,85,residential
26,Empire State Building,New York City,United States,381,1250,1931,102,office
27,Bank of America Tower,New York City,United States,366,1200,2010,55,office
28,Burj Al Arab,Dubai,United Arab Emirates,321,1053,1999,56,hotel
29,Chrysler Building,New York City,United States,319,1046,1930,77,office
30,The Shard,London,United Kingdom,309.6,1016,2012,95,mixed-use
31,Eiffel Tower,Paris,France,330,1083,1889,NA,observation
